Country,Crime Index,Safety Score,Annual Rainfall (mm),Climate Zone,Temperature (F),Temperature (C)
ukraine,46.8,53.2,565,DFB,52.48,11.38
australia,46.7,53.3,534,BWH,68.67,20.37
barbados,46.6,53.4,1422,AM,81.7,27.61
greece,46.5,53.5,652,CSA,62.64,17.02
lebanon,46.5,53.5,661,CSA,67.86,19.92
kazakhstan,46.4,53.6,250,BSK,48.79,9.33
ireland,46.1,53.9,1118,CFB,50.18,10.1
iraq,46.0,54.0,216,BWH,80.19,26.77
indonesia,45.9,54.1,2702,AF,80.8,27.11
moldova,45.7,54.3,450,DFB,54.66,12.59
sudan,45.5,54.5,250,BSH,86.07,30.04
albania,45.4,54.6,1485,CSB,59.31,15.17
canada,44.8,55.2,537,DFC,35.76,2.09
tunisia,44.7,55.3,207,BWH,69.96,21.09
india,44.4,55.6,1083,AW,78.75,25.97
ghana,44.1,55.9,1187,AW,83.95,28.86
panama,44.1,55.9,2928,AM,80.37,26.87
vietnam,44.1,55.9,1821,CWA,79.25,26.25
pakistan,42.8,57.2,494,BWH,69.6,20.89
philippines,42.6,57.4,2348,AF,81.0,27.22
bosnia and herzegovina,42.5,57.5,1028,DFB,54.18,12.32
sri lanka,42.2,57.8,1712,AF,81.43,27.46
palestine,41.2,58.8,402,CSA,72.68,22.6
jordan,40.7,59.3,111,CFA,71.91,22.17
north macedonia,40.7,59.3,619,CFB,55.92,13.29
turkey,40.2,59.8,593,CSB,58.93,14.96
malta,40.0,60.0,560,CSA,67.89,19.94
russia,39.7,60.3,460,DFC,41.49,5.27
thailand,38.3,61.7,1622,AW,83.55,28.64
germany,38.0,62.0,700,CFB,51.22,10.68
nepal,37.5,62.5,1500,CWB,71.6,22.0
bulgaria,37.5,62.5,608,DFB,56.12,13.4
latvia,37.3,62.7,667,DFB,46.53,8.07
spain,35.8,64.2,636,CSA,61.9,16.61
luxembourg,34.0,66.0,934,CFB,50.11,10.06
hungary,33.8,66.2,589,CFB,55.47,13.04
lithuania,33.2,66.8,656,DFB,47.79,8.77
romania,32.8,67.2,637,DFB,55.15,12.86
kuwait,32.6,67.4,121,BWH,83.89,28.83
cyprus,32.6,67.4,498,BSH,71.08,21.71
norway,32.5,67.5,1414,DFC,41.05,5.03
israel,32.2,67.8,435,BSH,72.84,22.69
cuba,32.2,67.8,1335,AW,80.44,26.91
azerbaijan,31.7,68.3,447,BSK,58.05,14.47
slovakia,31.3,68.7,824,DFB,51.4,10.78
uzbekistan,31.3,68.7,206,BWK,63.81,17.67
portugal,30.7,69.3,854,CSA,62.26,16.81
poland,29.2,70.8,600,CFB,51.08,10.6
brunei,29.2,70.8,2722,AF,83.17,28.43
austria,27.6,72.4,1110,DFB,47.88,8.82
rwanda,27.3,72.7,1212,CFB,68.79,20.44
czech republic,26.8,73.2,677,CFB,50.13,10.07
denmark,26.6,73.4,703,CFB,49.8,9.89
finland,26.5,73.5,536,DFC,42.15,5.64
georgia,26.2,73.8,1026,CFA,53.8,12.11
netherlands,26.2,73.8,778,CFB,52.86,11.59
croatia,26.1,73.9,1113,CFB,56.3,13.5
china,25.8,74.2,645,BSK,58.32,14.62
south korea,25.3,74.7,1274,DWB,56.48,13.6
iceland,25.0,75.0,1940,ET,37.71,3.17
switzerland,24.9,75.1,1537,DFC,48.38,9.1
estonia,24.5,75.5,626,DFB,45.52,7.51
saudi arabia,24.3,75.7,59,BWH,80.62,27.01
slovenia,24.2,75.8,1162,CFB,53.24,11.8
bahrain,24.2,75.8,83,BWH,82.36,27.98
singapore,23.1,76.9,2497,AF,77.18,25.1
japan,22.9,77.1,1668,DFB,59.34,15.19
armenia,21.6,78.4,562,DFB,50.72,10.4
oman,19.6,80.4,125,BWH,84.56,29.2
united arab emirates,14.6,85.4,78,BWH,85.6,29.78
qatar,14.3,85.7,74,BWH,85.53,29.74
